Comic,Story,Page,Gutter,Panel,Label,About
https://www.comics.org/issue/1963646,https://www.comics.org/issue/1963646/#3467086,#StatesOfMind_Ch1_Pg16,,#StatesOfMind_Ch1_Pg16_P3,Panic Attack,http://purl.bioontology.org/ontology/MEDDRA/10033664
https://www.comics.org/issue/1963646,https://www.comics.org/issue/1963646/#3467086,#StatesOfMind_Ch1_Pg16,,#StatesOfMind_Ch1_Pg16_P4,Panic Attack,http://purl.bioontology.org/ontology/MEDDRA/10033664
https://www.comics.org/issue/1963646,https://www.comics.org/issue/1963646/#3467086,#StatesOfMind_Ch1_Pg16,,#StatesOfMind_Ch1_Pg16_P6,Panic Attack,http://purl.bioontology.org/ontology/MEDDRA/10033664
https://www.comics.org/issue/1963646,https://www.comics.org/issue/1963646/#3467086,#StatesOfMind_Ch1_Pg17,,#StatesOfMind_Ch1_Pg17_P1,Panic Attack,http://purl.bioontology.org/ontology/MEDDRA/10033664
https://www.comics.org/issue/1963646,https://www.comics.org/issue/1963646/#3467086,#StatesOfMind_Ch1_Pg17,,#StatesOfMind_Ch1_Pg17_P2,Panic Attack,http://purl.bioontology.org/ontology/MEDDRA/10033664
https://www.comics.org/issue/1963646,https://www.comics.org/issue/1963646/#3467081,#StatesOfMind_Ch2_Pg21,,#StatesOfMind_Ch2_Pg21_P2,Stress,http://purl.bioontology.org/ontology/MEDDRA/10042209
https://www.comics.org/issue/1963646,https://www.comics.org/issue/1963646/#3467081,#StatesOfMind_Ch2_Pg21,,#StatesOfMind_Ch2_Pg21_P3,Stress,http://purl.bioontology.org/ontology/MEDDRA/10042209
https://www.comics.org/issue/1963646,https://www.comics.org/issue/1963646/#3467081,#StatesOfMind_Ch2_Pg29,,#StatesOfMind_Ch2_Pg29_P3,Tercian,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C79120
https://www.comics.org/issue/1963646,https://www.comics.org/issue/1963646/#3467081,#StatesOfMind_Ch2_Pg29,,#StatesOfMind_Ch2_Pg29_P3,Loss of Appetite,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113630
https://www.comics.org/issue/1963646,https://www.comics.org/issue/1963646/#3467078,#StatesOfMind_Ch5_Pg88,,#StatesOfMind_Ch5_Pg88_P2,Involuntary Commitment,http://purl.bioontology.org/ontology/MEDDRA/10080523
https://www.comics.org/issue/1963646,https://www.comics.org/issue/1963646/#3467078,#StatesOfMind_Ch5_Pg88,#StatesOfMind_Ch5_Pg88_G1,#StatesOfMind_Ch5_Pg88_P2,Fear,http://purl.bioontology.org/ontology/MEDDRA/10016275
https://www.comics.org/issue/1963646,https://www.comics.org/issue/1963646/#3467078,#StatesOfMind_Ch5_Pg88,#StatesOfMind_Ch5_Pg88_G1,#StatesOfMind_Ch5_Pg88_P2,Guilt,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95555
https://www.comics.org/issue/1963646,https://www.comics.org/issue/1963646/#3467077,#StatesOfMind_Ch6_Pg107,,,Bipolar Disorder,http://id.loc.gov/authorities/subjects/sh85080541
