Source,Label,Target,Type,Weight,Relationship
ex:StatesOfMind_Ch3,schema:about,mesh:D005059,Undirected,20,schema:about
 ex:StatesOfMind,cbo:story,ex:StatesOfMind_Ch4,Undirected,30,cbo:story
 icnp:Acceptance,schema:name,"Acceptance",Undirected,10,schema:name
 ex:StatesOfMind_Ch5,schema:about,mesh:D001714,Undirected,20,schema:about
 icd10cm:R46.81,schema:name,"Obsessive Compulsive Behavior",Undirected,10,schema:name
 meddra:10026778,schema:name,"Manic Episode",Undirected,10,schema:name
 meddra:10037247,schema:name,"Psychotherapy",Undirected,10,schema:name
 mesh:D030881,schema:name,"Disclosure",Undirected,10,schema:name
 obo:MFOMD_0000057,schema:name,"Shopping",Undirected,10,schema:name
 ex:StatesOfMind_Ch2,schema:about,obo:SYMP_0000309,Undirected,20,schema:about
 ex:StatesOfMind_Ch6,schema:about,ogms:0000090,Undirected,20,schema:about
 ex:StatesOfMind_Ch5,schema:about,mesh:D006760,Undirected,20,schema:about
 meddra:10033664,schema:name,"Panic Attack",Undirected,10,schema:name
 meddra:10042209,schema:name,"Stress",Undirected,10,schema:name
 ex:StatesOfMind_Ch4,schema:about,medlineplus:C3496294,Undirected,20,schema:about
 ex:StatesOfMind_Ch4,schema:about,nddf:005507,Undirected,20,schema:about
 ex:StatesOfMind_Ch4,schema:about,mesh:D000374,Undirected,20,schema:about
 ex:StatesOfMind_Ch2,schema:about,meddra:10042209,Undirected,20,schema:about
 ex:StatesOfMind_Ch3,schema:about,medlineplus:C3496294,Undirected,20,schema:about
 ex:StatesOfMind_Ch6,schema:about,icnp:Acceptance,Undirected,20,schema:about
 ex:StatesOfMind_Ch2,schema:about,icd10cm:T14.91,Undirected,20,schema:about
 mesh:D006993,schema:name,"Sedatives",Undirected,10,schema:name
 ex:StatesOfMind_Ch4,schema:about,obo:GSSO_002817,Undirected,20,schema:about
 ex:StatesOfMind_Ch4,schema:about,mesh:Q000175,Undirected,20,schema:about
 ex:StatesOfMind_Ch4,schema:about,icnp:Acceptance,Undirected,20,schema:about
 ndfrt:N0000175751,schema:name,"Mood Stabilizer",Undirected,10,schema:name
 meddra:10021030,schema:name,"Hypomania",Undirected,10,schema:name
 ex:StatesOfMind_Ch6,schema:about,mesh:D030881,Undirected,20,schema:about
